"Id","Name","PositionId"
404,"Woottating",404
405,"Wundowie",405
406,"Wungong",406
407,"Yanchep",407
408,"Yangebup",408
409,"Yokine",409
410,"Banksiadale",32144
411,"Bannister",32145
412,"Barragup",32146
413,"Birchmont",32147
414,"Blythewood",32148
415,"Bouvard",32149
416,"Carcoola Primary School",32150
417,"Coodanup",32151
418,"Dawesville",32152
419,"Dudley Park",32153
420,"Dwellingup",32154
421,"Erskine",32155
422,"Fairbridge",32156
423,"Falcon",32157
424,"Furnissdale",32158
425,"Greenfields",32159
426,"Halls Head",32160
427,"Holyoake",32161
428,"Inglehope",32162
429,"Mandurah",32163
430,"Marrinup",32164
431,"Meelon",32165
432,"Mount Wells",32166
433,"Nirimba",32167
434,"North Bannister",32168
435,"North Dandalup",32169
436,"North Yunderup",32170
437,"Oakley",32171
438,"Pinjarra",32172
439,"Point Grey",32173
440,"Ravenswood",32174
441,"Solus",32175
442,"South Yunderup",32176
443,"Springs",32177
444,"Teesdale",32178
445,"Wandering",32179
446,"Wannanup",32180
447,"West Pinjarra",32181
448,"Whittaker",32182
449,"Yunderup",32183
450,"Yunderup Island",32184
451,"As Directed",34377
452,"Hollywood",34378
